unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,borough,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location
59898233,2024-01-01T10:16:41.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,BRONX,1022911,264242,40.89187241649303,-73.86016845296459,"
,  
(40.89187241649303, -73.86016845296459)"
59895031,2024-01-01T10:16:12.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10467,830 EAST  216 STREET,EAST  216 STREET,BARNES AVENUE,BRONXWOOD AVENUE,BARNES AVENUE,BRONXWOOD AVENUE,ADDRESS,BRONX,EAST  216 STREET,BRONX,1022948,259992,40.8802073520939,-73.86005918621817,"
,  
(40.8802073520939, -73.86005918621817)"
59899313,2024-01-01T10:16:03.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11204,1409 WEST    7 STREET,WEST    7 STREET,BAY PARKWAY,AVENUE O,BAY PARKWAY,AVENUE O,ADDRESS,BROOKLYN,WEST    7 STREET,BROOKLYN,989405,162224,40.61194229826677,-73.98143326338824,"
,  
(40.61194229826677, -73.98143326338824)"
59897041,2024-01-01T10:15:43.000,HPD,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10033,350 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,NA,NA,NA,NA,ADDRESS,NEW YORK,NA,MANHATTAN,1000878,247828,40.84689003602759,-73.93989948945352,"
,  
(40.84689003602759, -73.93989948945352)"
59899833,2024-01-01T10:15:42.000,NYPD,Blocked Driveway,Partial Access,Street/Sidewalk,11204,2102 70 STREET,70 STREET,21 AVENUE,BAY PARKWAY,21 AVENUE,BAY PARKWAY,ADDRESS,BROOKLYN,70 STREET,BROOKLYN,988032,162317,40.61219825651468,-73.98637833814553,"
,  
(40.61219825651468, -73.98637833814553)"
59899977,2024-01-01T10:15:22.000,NYPD,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10036,256 WEST   47 STREET,WEST   47 STREET,WEST   47 STREET BIKE PATH,8 AVENUE,WEST   47 STREET BIKE PATH,8 AVENUE,ADDRESS,NEW YORK,WEST   47 STREET,MANHATTAN,988023,216142,40.759935525129784,-73.98638061237266,"
,  
(40.759935525129784, -73.98638061237266)"
59900265,2024-01-01T10:14:55.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11364,75-50 BELL BOULEVARD,BELL BOULEVARD,75 AVENUE,77 AVENUE,75 AVENUE,77 AVENUE,ADDRESS,OAKLAND GARDENS,BELL BOULEVARD,QUEENS,1051706,207950,40.73719410787823,-73.75658705893653,"
,  
(40.73719410787823, -73.75658705893653)"
59897363,2024-01-01T10:14:53.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10461,1807 MAHAN AVENUE,MAHAN AVENUE,BUHRE AVENUE,WILLOW LANE,BUHRE AVENUE,WILLOW LANE,ADDRESS,BRONX,MAHAN AVENUE,BRONX,1031288,248423,40.848413500636205,-73.82998110924083,"
,  
(40.848413500636205, -73.82998110924083)"
59897330,2024-01-01T10:14:00.000,DEP,Water System,Leak (Use Comments) (WA2),NA,11230,649 ARGYLE ROAD,ARGYLE ROAD,NEWKIRK AVE,FOSTER AVE,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,994009,170075,40.63348777638846,-73.96483971201397,"
,  
(40.63348777638846, -73.96483971201397)"
59895880,2024-01-01T10:13:53.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10030,162 WEST  144 STREET,WEST  144 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  144 STREET,MANHATTAN,1001116,238303,40.820746211868745,-73.93906320797221,"
,  
(40.820746211868745, -73.93906320797221)"
59898733,2024-01-01T10:12:49.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467,3202 KOSSUTH AVENUE,KOSSUTH AVENUE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1016667,259490,40.878854824832985,-73.88277511755769,"
,  
(40.878854824832985, -73.88277511755769)"
